DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development
2000-0762-IDN,Ground movement,USGS:usp0009u6r,IDN,6.7,2000/6/7,1,,,3000,3000,0
2000-0769-AZE,Ground movement,USGS:usp000a4xu,AZE,6.8,2000/11/25,31,600,,2694,3294,0
2000-0810-TKM,Ground movement,USGS:usp000a5m7,TKM,7,2000/12/6,11,,,,,0
2001-0005-TZA,Ground movement,USGS:usp0009s0v,TZA,4.3,2001/1/5,,,700,,700,0
2001-0013-SLV,Ground movement,USGS:usp000a7m5,SLV,7.7,2001/1/13,844,4723,,1329806,1334529,0
2001-0023-GTM,Ground movement,USGS:usp000a7m5,GTM,7.7,2001/1/13,6,2,,150,152,0
2001-0033-IND,Ground movement,USGS:usp000a8ds,IND,7.7,2001/1/26,20005,166812,1790000,4365000,6321812,0
2001-0033-PAK,Ground movement,USGS:usp000a8ds,PAK,7.7,2001/1/26,12,100,,914192,914292,0
2001-0042-SLV,Ground movement,USGS:usp000a9jv,SLV,6.6,2001/2/13,315,3399,,252622,256021,0
2001-0064-CHN,Ground movement,USGS:usp000aa5p,CHN,5.6,2001/2/23,3,109,300000,,300109,0
2001-0086-AFG,Ground movement,USGS:usp000aaae,AFG,6.2,2001/2/25,,,,,,0
